Benchmark                         Size     Cnt           μs/op ±     error             ops/s ±      error
                                                                                                         
Array builder                      100      10           1.027 ±     0.004       973,454.248 ±  3,885.968
Array builder                    1,000      10           6.239 ±     0.007       160,276.908 ±    168.731
Array builder                   10,000      10          56.020 ±     0.126        17,850.845 ±     40.204
List builder                       100      10           1.188 ±     0.002       841,534.879 ±  1,086.316
List builder                     1,000      10           9.336 ±     0.010       107,110.730 ±    114.046
List builder                    10,000      10         102.041 ±     0.099         9,799.961 ±      9.523
List var (append)                  100      10          61.514 ±     0.109        16,256.429 ±     28.733
List var (append)                1,000      10       5,393.527 ±    13.007           185.408 ±      0.446
List var (append)               10,000      10     577,067.500 ±   873.526             1.733 ±      0.003
List var (prepend)                 100      10           0.785 ±     0.010     1,274,219.363 ± 15,423.379
List var (prepend)               1,000      10           5.404 ±     0.054       185,048.015 ±  1,845.582
List var (prepend)              10,000      10          63.814 ±     0.578        15,671.085 ±    142.091
List var, prepend & reverse        100      10           1.324 ±     0.023       755,579.548 ± 13,180.552
List var, prepend & reverse      1,000      10          11.016 ±     0.178        90,783.143 ±  1,464.925
List var, prepend & reverse     10,000      10         133.928 ±     0.990         7,466.877 ±     55.284
Seq builder                        100      10           1.194 ±     0.001       837,449.096 ±  1,040.372
Seq builder                      1,000      10           9.333 ±     0.008       107,143.015 ±     94.538
Seq builder                     10,000      10         102.217 ±     0.081         9,783.098 ±      7.756
Seq var (append)                   100      10          60.754 ±     0.019        16,459.716 ±      5.181
Seq var (append)                 1,000      10       5,385.137 ±     9.844           185.697 ±      0.339
Seq var (append)                10,000      10     576,175.925 ± 1,359.391             1.736 ±      0.004
Seq var (prepend)                  100      10           1.145 ±     0.002       873,702.921 ±  1,168.753
Seq var (prepend)                1,000      10           8.766 ±     0.012       114,081.723 ±    150.591
Seq var (prepend)               10,000      10          96.905 ±     0.145        10,319.428 ±     15.429
Stream builder                     100      10           2.563 ±     0.004       390,114.740 ±    631.320
Stream builder                   1,000      10          20.535 ±     0.038        48,698.135 ±     90.667
Stream builder                  10,000      10         240.721 ±     1.788         4,154.271 ±     30.545
Stream var (append)                100      10           2.557 ±     0.019       391,049.175 ±  2,917.244
Stream var (append)              1,000      10          22.311 ±     0.725        44,838.244 ±  1,423.712
Stream var (append)             10,000      10         229.618 ±     0.397         4,355.072 ±      7.526
Stream var (prepend)               100      10           2.550 ±     0.004       392,139.699 ±    633.168
Stream var (prepend)             1,000      10          22.369 ±     0.688        44,720.345 ±  1,340.486
Stream var (prepend)            10,000      10         230.329 ±     0.127         4,341.623 ±      2.398
Vector builder                     100      10           6.105 ±     0.004       163,800.052 ±     98.266
Vector builder                   1,000      10          42.905 ±     0.065        23,307.237 ±     35.381
Vector builder                  10,000      10         425.953 ±     0.259         2,347.676 ±      1.425
Vector var (append)                100      10         100.675 ±     0.075         9,932.986 ±      7.402
Vector var (append)              1,000      10       1,005.969 ±     0.560           994.066 ±      0.553
Vector var (append)             10,000      10      10,444.640 ±     7.176            95.743 ±      0.066
Vector var (prepend)               100      10         100.659 ±     0.058         9,934.534 ±      5.717
Vector var (prepend)             1,000      10       1,004.922 ±     0.524           995.102 ±      0.519
Vector var (prepend)            10,000      10      10,441.720 ±     3.943            95.770 ±      0.036
