Benchmark                         Size     Cnt           μs/op ±     error             ops/s ±      error
                                                                                                         
Array builder                      100      10           1.004 ±     0.002       996,206.064 ±  1,520.151
Array builder                    1,000      10           6.260 ±     0.010       159,750.752 ±    253.783
Array builder                   10,000      10          56.068 ±     0.113        17,835.632 ±     35.907
List builder                       100      10           1.193 ±     0.001       838,447.581 ±    762.045
List builder                     1,000      10           9.326 ±     0.013       107,224.069 ±    145.048
List builder                    10,000      10         101.171 ±     0.146         9,884.274 ±     14.217
List var (append)                  100      10          61.204 ±     1.012        16,340.450 ±    269.138
List var (append)                1,000      10       5,362.547 ±    16.111           186.479 ±      0.560
List var (append)               10,000      10     573,339.775 ± 1,084.145             1.744 ±      0.003
List var (prepend)                 100      10           0.798 ±     0.005     1,252,941.774 ±  7,951.999
List var (prepend)               1,000      10           5.549 ±     0.020       180,227.065 ±    664.282
List var (prepend)              10,000      10          64.293 ±     0.616        15,554.449 ±    149.498
List var, prepend & reverse        100      10           1.336 ±     0.019       748,584.088 ± 10,934.135
List var, prepend & reverse      1,000      10          11.058 ±     0.223        90,445.348 ±  1,823.157
List var, prepend & reverse     10,000      10         130.355 ±     1.250         7,671.616 ±     73.710
Seq builder                        100      10           1.197 ±     0.001       835,686.090 ±    987.152
Seq builder                      1,000      10           9.358 ±     0.018       106,857.472 ±    199.715
Seq builder                     10,000      10         101.024 ±     0.209         9,898.625 ±     20.504
Seq var (append)                   100      10          61.836 ±     0.078        16,171.753 ±     20.330
Seq var (append)                 1,000      10       5,382.088 ±    12.776           185.802 ±      0.441
Seq var (append)                10,000      10     574,248.950 ±   959.997             1.741 ±      0.003
Seq var (prepend)                  100      10           1.148 ±     0.001       871,006.034 ±  1,084.066
Seq var (prepend)                1,000      10           8.805 ±     0.010       113,565.735 ±    131.801
Seq var (prepend)               10,000      10          96.533 ±     0.133        10,359.128 ±     14.293
Stream builder                     100      10           2.566 ±     0.005       389,640.599 ±    733.578
Stream builder                   1,000      10          20.039 ±     0.015        49,902.331 ±     36.932
Stream builder                  10,000      10         232.113 ±     0.549         4,308.249 ±     10.197
Stream var (append)                100      10           2.515 ±     0.087       397,831.700 ± 13,918.230
Stream var (append)              1,000      10          23.263 ±     0.017        42,987.364 ±     31.710
Stream var (append)             10,000      10         218.774 ±     0.128         4,570.931 ±      2.684
Stream var (prepend)               100      10           2.559 ±     0.004       390,729.887 ±    652.306
Stream var (prepend)             1,000      10          23.276 ±     0.008        42,961.890 ±     15.511
Stream var (prepend)            10,000      10         229.865 ±     0.232         4,350.376 ±      4.390
Vector builder                     100      10           6.207 ±     0.003       161,097.602 ±     85.088
Vector builder                   1,000      10          42.990 ±     0.041        23,261.342 ±     22.195
Vector builder                  10,000      10         422.950 ±     0.254         2,364.348 ±      1.423
Vector var (append)                100      10         105.205 ±     0.187         9,505.272 ±     16.865
Vector var (append)              1,000      10       1,075.993 ±     0.384           929.374 ±      0.332
Vector var (append)             10,000      10      10,322.016 ±     8.309            96.880 ±      0.078
Vector var (prepend)               100      10         105.385 ±     0.103         9,489.051 ±      9.287
Vector var (prepend)             1,000      10       1,076.574 ±     1.188           928.873 ±      1.024
Vector var (prepend)            10,000      10      10,325.588 ±    10.068            96.847 ±      0.094
