Benchmark                         Size     Cnt             μs/op ±     error           ops/s ±     error
                                                                                                        
Array builder                      100      10             4.079 ±     0.015     245,187.519 ±   899.440
Array builder                    1,000      10            36.126 ±     0.067      27,680.654 ±    51.083
Array builder                   10,000      10           361.247 ±     1.060       2,768.195 ±     8.127
ArraySeq builder                   100      10            15.021 ±     0.011      66,571.387 ±    47.557
ArraySeq builder                 1,000      10           122.187 ±     0.223       8,184.196 ±    14.943
ArraySeq builder                10,000      10         1,485.720 ±     2.354         673.075 ±     1.068
ArraySeq var (append)              100      10           173.479 ±     0.226       5,764.388 ±     7.512
ArraySeq var (append)            1,000      10        12,923.722 ±    35.520          77.377 ±     0.213
ArraySeq var (append)           10,000      10     1,237,067.400 ± 2,209.327           0.808 ±     0.001
ArraySeq var (prepend)             100      10           173.402 ±     0.268       5,766.938 ±     8.900
ArraySeq var (prepend)           1,000      10        12,909.736 ±    37.744          77.461 ±     0.226
ArraySeq var (prepend)          10,000      10     1,235,683.500 ± 3,746.660           0.809 ±     0.002
LazyList builder                   100      10             4.438 ±     0.007     225,308.773 ±   332.243
LazyList builder                 1,000      10            42.736 ±     0.057      23,399.753 ±    31.206
LazyList builder                10,000      10           778.970 ±     2.109       1,283.750 ±     3.478
LazyList var (append)              100      10             6.328 ±     0.033     158,033.779 ±   820.529
LazyList var (append)            1,000      10            60.556 ±     0.522      16,514.173 ±   142.238
LazyList var (append)           10,000      10           604.304 ±     1.203       1,654.798 ±     3.289
LazyList var (prepend)             100      10             6.250 ±     0.010     160,005.007 ±   263.215
LazyList var (prepend)           1,000      10            60.452 ±     0.090      16,542.125 ±    24.709
LazyList var (prepend)          10,000      10           615.344 ±     0.402       1,625.107 ±     1.062
List builder                       100      10             3.889 ±     0.004     257,158.790 ±   275.787
List builder                     1,000      10            35.844 ±     0.063      27,898.451 ±    49.348
List builder                    10,000      10           361.447 ±     0.580       2,766.664 ±     4.433
List var (append)                  100      10           496.160 ±     0.727       2,015.479 ±     2.955
List var (append)                1,000      10        48,984.783 ±   134.416          20.415 ±     0.056
List var (append)               10,000      10     3,979,318.300 ± 4,564.943           0.251 ±     0.000
List var (prepend)                 100      10             3.800 ±     0.012     263,144.210 ±   819.712
List var (prepend)               1,000      10            36.368 ±     0.132      27,496.810 ±    99.407
List var (prepend)              10,000      10           356.989 ±     0.599       2,801.209 ±     4.701
List var, prepend & reverse        100      10             4.579 ±     0.015     218,383.243 ±   731.033
List var, prepend & reverse      1,000      10            43.013 ±     0.090      23,248.578 ±    48.382
List var, prepend & reverse     10,000      10           467.429 ±     0.532       2,139.365 ±     2.435
Seq builder                        100      10             3.869 ±     0.015     258,445.129 ±   999.325
Seq builder                      1,000      10            36.176 ±     0.052      27,642.871 ±    39.642
Seq builder                     10,000      10           363.835 ±     1.172       2,748.510 ±     8.847
Seq var (append)                   100      10           412.047 ±     1.692       2,426.922 ±     9.919
Seq var (append)                 1,000      10        39,791.492 ±    48.964          25.131 ±     0.031
Seq var (append)                10,000      10     4,002,785.600 ± 9,712.518           0.250 ±     0.001
Seq var (prepend)                  100      10             4.031 ±     0.019     248,106.840 ± 1,165.322
Seq var (prepend)                1,000      10            37.409 ±     0.131      26,731.498 ±    93.918
Seq var (prepend)               10,000      10           383.092 ±     0.747       2,610.342 ±     5.092
Vector builder                     100      10             9.267 ±     0.009     107,912.940 ±   102.152
Vector builder                   1,000      10            72.756 ±     0.048      13,744.501 ±     9.154
Vector builder                  10,000      10           708.473 ±     1.490       1,411.490 ±     2.968
Vector var (append)                100      10            38.151 ±     0.148      26,212.119 ±   101.963
Vector var (append)              1,000      10           257.302 ±     0.338       3,886.481 ±     5.099
Vector var (append)             10,000      10         2,535.001 ±     3.285         394.477 ±     0.511
Vector var (prepend)               100      10            37.742 ±     0.036      26,495.658 ±    25.336
Vector var (prepend)             1,000      10           257.902 ±     0.282       3,877.444 ±     4.244
Vector var (prepend)            10,000      10         2,560.826 ±     2.309         390.499 ±     0.352
