Benchmark                         Size     Cnt             μs/op ±     error           ops/s ±     error
                                                                                                        
Array builder                      100      10             4.004 ±     0.024     249,784.169 ± 1,480.854
Array builder                    1,000      10            35.948 ±     0.088      27,818.134 ±    67.996
Array builder                   10,000      10           353.363 ±     1.497       2,829.972 ±    11.984
ArraySeq builder                   100      10            14.886 ±     0.019      67,176.298 ±    87.168
ArraySeq builder                 1,000      10           121.178 ±     0.080       8,252.333 ±     5.475
ArraySeq builder                10,000      10         1,476.753 ±     1.328         677.162 ±     0.609
ArraySeq var (append)              100      10           168.419 ±     0.200       5,937.564 ±     7.068
ArraySeq var (append)            1,000      10        12,729.890 ±    14.696          78.555 ±     0.091
ArraySeq var (append)           10,000      10     1,230,310.850 ±   813.732           0.813 ±     0.001
ArraySeq var (prepend)             100      10           172.867 ±     0.154       5,784.798 ±     5.145
ArraySeq var (prepend)           1,000      10        12,963.838 ±    11.542          77.138 ±     0.069
ArraySeq var (prepend)          10,000      10     1,243,720.700 ± 1,558.639           0.804 ±     0.001
LazyList builder                   100      10             4.171 ±     0.027     239,743.100 ± 1,564.765
LazyList builder                 1,000      10            39.994 ±     0.041      25,003.972 ±    25.792
LazyList builder                10,000      10           899.188 ±    25.721       1,112.488 ±    33.185
LazyList var (append)              100      10             6.492 ±     0.005     154,035.051 ±   118.340
LazyList var (append)            1,000      10            62.323 ±     0.641      16,046.086 ±   164.223
LazyList var (append)           10,000      10           635.205 ±     6.662       1,574.363 ±    16.530
LazyList var (prepend)             100      10             6.494 ±     0.008     153,988.461 ±   187.057
LazyList var (prepend)           1,000      10            62.951 ±     0.150      15,885.434 ±    38.043
LazyList var (prepend)          10,000      10           638.983 ±     0.830       1,564.988 ±     2.032
List builder                       100      10             3.721 ±     0.009     268,776.845 ±   673.453
List builder                     1,000      10            34.495 ±     0.067      28,990.146 ±    55.999
List builder                    10,000      10           351.576 ±     0.564       2,844.341 ±     4.564
List var (append)                  100      10            93.651 ±     0.142      10,677.954 ±    16.191
List var (append)                1,000      10         8,765.676 ±    17.530         114.082 ±     0.228
List var (append)               10,000      10       559,017.500 ±   950.528           1.789 ±     0.003
List var (prepend)                 100      10             3.561 ±     0.008     280,813.141 ±   631.727
List var (prepend)               1,000      10            32.935 ±     0.061      30,362.622 ±    55.997
List var (prepend)              10,000      10           337.745 ±     0.512       2,960.821 ±     4.484
List var, prepend & reverse        100      10             4.185 ±     0.005     238,957.613 ±   303.129
List var, prepend & reverse      1,000      10            38.894 ±     0.045      25,711.077 ±    29.606
List var, prepend & reverse     10,000      10           409.932 ±     0.550       2,439.429 ±     3.277
Seq builder                        100      10             3.720 ±     0.003     268,795.410 ±   219.692
Seq builder                      1,000      10            34.645 ±     0.093      28,864.611 ±    77.180
Seq builder                     10,000      10           352.204 ±     0.440       2,839.262 ±     3.545
Seq var (append)                   100      10            93.377 ±     0.125      10,709.333 ±    14.312
Seq var (append)                 1,000      10         8,748.781 ±    16.739         114.302 ±     0.218
Seq var (append)                10,000      10       914,244.900 ± 1,397.085           1.094 ±     0.002
Seq var (prepend)                  100      10             3.431 ±     0.012     291,440.571 ±   997.686
Seq var (prepend)                1,000      10            31.224 ±     0.014      32,026.726 ±    13.887
Seq var (prepend)               10,000      10           320.772 ±     0.311       3,117.479 ±     3.023
Vector builder                     100      10             9.305 ±     0.016     107,471.253 ±   190.400
Vector builder                   1,000      10            66.051 ±     0.027      15,139.880 ±     6.098
Vector builder                  10,000      10           643.142 ±     0.761       1,554.866 ±     1.837
Vector var (append)                100      10            57.362 ±     0.047      17,433.234 ±    14.401
Vector var (append)              1,000      10           715.245 ±     0.767       1,398.123 ±     1.499
Vector var (append)             10,000      10         6,181.160 ±     8.349         161.782 ±     0.218
Vector var (prepend)               100      10            56.578 ±     0.016      17,674.589 ±     4.929
Vector var (prepend)             1,000      10           708.685 ±     0.974       1,411.065 ±     1.938
Vector var (prepend)            10,000      10         6,038.050 ±     4.650         165.616 ±     0.127
